Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 288, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1803, 1.4019)
Step 289, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1877, 1.3878)
Step 290, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1951, 1.3737)
Snapshot saved for time step 290.
Step 291, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2023, 1.3596)
Step 292, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2095, 1.3454)
Step 293, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2166, 1.3311)
Step 294, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2236, 1.3169)
Step 295, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2304, 1.3025)
Step 296, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2372, 1.2882)
Step 297, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2439, 1.2738)
Step 298, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2505, 1.2593)
Step 299, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2570, 1.2449)
Step 300, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2634, 1.2304)
Snapshot saved for time step 300.
Step 301, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2697, 1.2158)
Step 302, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2760, 1.2012)
Step 303, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2821, 1.1866)
Step 304, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.2881, 1.1720)
Step 305, Time = 0.31, ProbDensSum = 1.0000, Center = (-2.2940, 1.1573)
Step 306, Time = 0.31, ProbDensSum = 1.0000, Center = (-2.2998, 1.1425)
