Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 187, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0956, 2.4447)
Step 188, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1109, 2.4372)
Step 189, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1261, 2.4295)
Step 190, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1413, 2.4218)
Snapshot saved for time step 190.
Step 191, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1564, 2.4140)
Step 192, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1714, 2.4061)
Step 193, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1864, 2.3981)
Step 194, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.2014, 2.3900)
Step 195, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2162, 2.3818)
Step 196, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2310, 2.3735)
Step 197, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2458, 2.3651)
Step 198, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2605, 2.3566)
Step 199, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2751, 2.3481)
Step 200, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2897, 2.3394)
Snapshot saved for time step 200.
Step 201, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.3042, 2.3307)
Step 202, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.3186, 2.3219)
Step 203, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.3330, 2.3130)
Step 204, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.3473, 2.3040)
Step 205, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3615, 2.2949)
Step 206, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3757, 2.2857)
Step 207, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3898, 2.2765)
Step 208, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4038, 2.2671)
Step 209, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4178, 2.2577)
Step 210, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4317, 2.2482)
Snapshot saved for time step 210.
Step 211, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4455, 2.2386)
Step 212, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4592, 2.2289)
Step 213, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4729, 2.2191)
Step 214, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.4865, 2.2093)
Step 215, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5001, 2.1993)
Step 216, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5135, 2.1893)
Step 217, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5269, 2.1792)
Step 218, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5403, 2.1690)
Step 219, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5535, 2.1588)
Step 220, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5667, 2.1484)
Snapshot saved for time step 220.
Step 221, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5798, 2.1380)
Step 222, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5928, 2.1275)
Step 223, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.6057, 2.1169)
Step 224, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.6186, 2.1063)
Step 225, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6314, 2.0956)
Step 226, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6441, 2.0847)
Step 227, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6567, 2.0739)
Step 228, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6693, 2.0629)
Step 229, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6818, 2.0518)
Step 230, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6942, 2.0407)
Snapshot saved for time step 230.
Step 231, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.7065, 2.0295)
Step 232, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.7187, 2.0183)
Step 233, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.7309, 2.0069)
Step 234, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.7430, 1.9955)
Step 235, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7550, 1.9840)
Step 236, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7669, 1.9725)
Step 237, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7787, 1.9608)
Step 238, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7905, 1.9491)
Step 239, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8021, 1.9374)
Step 240, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8137, 1.9255)
Snapshot saved for time step 240.
Step 241, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8252, 1.9136)
Step 242, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8366, 1.9016)
Step 243, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8479, 1.8896)
Step 244, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.8592, 1.8775)
Step 245, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8703, 1.8653)
Step 246, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8814, 1.8530)
Step 247, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8924, 1.8407)
Step 248, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9033, 1.8283)
Step 249, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9141, 1.8159)
Step 250, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9248, 1.8034)
Snapshot saved for time step 250.
Step 251, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9354, 1.7908)
Step 252, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9460, 1.7781)
Step 253, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9564, 1.7654)
Step 254, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.9668, 1.7527)
Step 255, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9771, 1.7399)
